label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
local_trend_orderly_body_1.2,local,28.6081638215992,True,True,76.58800751776903,50.0,5.9110175891645165,5.7942315073132775,39.241539874656475,45.0,2.42764443874262,5.388617457506688,9.933041146961074,5.0,5.502040955399799,6.0,Local grid around first-pass OOS winner.
combo_body108_trend_min_stop_atr_1.4,combo,27.780759913482328,True,False,65.23236940174573,46.0,5.753892614069275,4.97368729137015,40.474902575703716,43.0,2.6022270252623487,5.559302878084706,-1.4225969690622264,1.0,6.7354036564470405,4.0,
local_trend_orderly_body_1.12,local,27.481848154485913,True,False,66.288270786498,48.0,5.117125318827215,5.7942315073132775,40.101634853955645,43.0,2.6457917764117185,5.42104513484111,-0.36669558430995153,3.0,6.362135934698969,4.0,Local grid around first-pass OOS winner.
combo_body108_trend_tp2_frac_0.66,combo,27.15456239240154,True,False,65.62783802683818,46.0,5.948385714482147,3.8010354544556577,40.18492160334951,43.0,2.6491985242281904,5.42104513484111,-1.0271283439697783,1.0,6.445422684092833,4.0,
combo_body108_trend_min_stop_atr_1.3,combo,27.127595430409155,True,True,67.41459724798263,46.0,5.584270384036425,5.347760368155919,39.79801351657015,43.0,2.56770327856147,5.68713897086052,0.759630877174672,1.0,6.058514597313476,4.0,
combo_body108_breakout_faster_trail,combo,26.978253908524277,True,False,65.56831090014373,46.0,5.946156047033203,3.8462073934485073,40.15572626405381,43.0,2.6478607971828385,5.421045134841139,-1.0866554706642262,1.0,6.416227344797136,4.0,
recommended_orderly_body_1_08,anchor,26.676810644412907,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,40.101634853955645,43.0,2.6457917764117185,5.42104513484111,-1.171733094382958,1.0,6.362135934698969,4.0,First-pass recommended candidate.
combo_body108_trend_tp2_frac_0.54,combo,26.195721059838004,True,False,65.33869131910423,46.0,5.9339568667585745,3.891379332441395,40.01749794714211,43.0,2.642353038530538,5.42104513484111,-1.3162750517037267,1.0,6.277999027885436,4.0,
combo_body108_trend_tp2_frac_0.48,combo,25.711293638676405,True,False,65.19421215487507,46.0,5.926731420466611,3.936551271434223,39.932510882909,43.0,2.638882291231604,5.42104513484111,-1.4607542159328801,1.0,6.193011963652324,4.0,
local_trend_orderly_body_1.18,local,25.241468237289247,True,False,66.288270786498,48.0,5.117125318827215,5.7942315073132775,39.241539874656475,45.0,2.42764443874262,5.388617457506688,-0.36669558430995153,3.0,5.502040955399799,6.0,Local grid around first-pass OOS winner.
local_trend_orderly_body_1.15,local,25.200999299955818,True,False,66.288270786498,48.0,5.117125318827215,5.7942315073132775,39.23142264032312,45.0,2.427303392125315,5.388617457506688,-0.36669558430995153,3.0,5.491923721066442,6.0,Local grid around first-pass OOS winner.
combo_body108_trend_min_score_a_2.6,combo,24.818001409196576,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,39.63693254515156,43.0,2.515254785116375,5.421045134841064,-1.171733094382958,1.0,5.897433625894884,4.0,
combo_body108_momentum_sol_long_only,targeted,24.75330440015187,True,True,72.76103838102316,44.0,7.994369609527257,3.846207393448526,38.40954636831858,48.0,2.545492226094339,7.747930530936848,6.1060720102152,-1.0,4.670047449061904,9.0,
combo_body108_trend_tp2_r_1.62,combo,22.893269191934017,False,False,63.65860149010707,46.0,5.85704774503282,4.655434686273159,40.35918109794107,43.0,2.6533223352232653,5.4210451348410915,-2.996364880700888,1.0,6.619682178684393,4.0,
combo_body108_momentum_sol_both,targeted,19.106471968312594,True,True,79.07878262626353,48.0,7.994832989082937,3.846207393448526,36.09783826035875,54.0,2.1364892614693587,7.7479305309368005,12.423816255455577,3.0,2.3583393411020737,15.0,
combo_body108_trend_tp2_r_1.98,combo,18.8852168521103,False,False,62.914134649136564,46.0,5.8160930576973415,4.955134898470653,40.101634853955645,43.0,2.6457917764117185,5.42104513484111,-3.740831721671391,1.0,6.362135934698969,4.0,
local_trend_orderly_body_1.25,local,16.928883561171748,True,True,76.27324741609726,51.0,5.833560719408014,5.7942315073132775,36.34919712277112,45.0,2.3306545767979636,5.530954387727145,9.618281045289308,6.0,2.609698203514448,6.0,Local grid around first-pass OOS winner.
local_trend_orderly_body_1.1,local,13.712608481796178,False,False,61.62098255655803,47.0,4.937765863902096,4.880945450062579,40.101634853955645,43.0,2.6457917764117185,5.42104513484111,-5.033983814249922,2.0,6.362135934698969,4.0,Local grid around first-pass OOS winner.
